service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
424,1,1,1,1,0,0,0,20220627,20220904
428,0,0,0,0,1,0,0,20220627,20220904
431,0,1,0,0,0,0,0,20220905,20221204
432,0,0,1,0,0,0,0,20220905,20221204
433,0,0,0,1,0,0,0,20220905,20221204
434,0,0,0,0,1,0,0,20220905,20221204
437,1,0,0,0,0,0,0,20220905,20221204
438,0,0,0,0,0,0,0,20220905,20221204
425,0,0,0,0,0,0,0,20220627,20220904
426,0,0,0,0,0,1,0,20220627,20220904
427,0,0,0,0,0,0,1,20220627,20220904
429,0,0,0,0,0,0,0,20220627,20220904
430,0,0,0,0,0,0,0,20220905,20221204
435,0,0,0,0,0,1,0,20220905,20221204
436,0,0,0,0,0,0,1,20220905,20221204
439,0,0,0,0,0,0,0,20220905,20221204
440,0,0,0,0,0,0,0,20220905,20221204